"PrincipalObjectAttributeAccessSet", "optevia_projectorganisationrole_PrincipalObjectAttributeAccesses", "optevia_projectorganisationrole_PrincipalObjectAttributeAcces00"
"PrincipalObjectAttributeAccessSet", "optevia_fdiaftercarevisitpriority_PrincipalObjectAttributeAccesses", "optevia_fdiaftercarevisitpriority_PrincipalObjectAttributeAcc00"
"PrincipalObjectAttributeAccessSet", "optevia_sectornatureofinterest_PrincipalObjectAttributeAccesses", "optevia_sectornatureofinterest_PrincipalObjectAttributeAccess00"
"PrincipalObjectAttributeAccessSet", "optevia_fdiaftercarevisittaskpriority_PrincipalObjectAttributeAccesses", "optevia_fdiaftercarevisittaskpriority_PrincipalObjectAttribut00"
"PrincipalObjectAttributeAccessSet", "detica_investmentdeliverypartner_PrincipalObjectAttributeAccesses", "detica_investmentdeliverypartner_PrincipalObjectAttributeAcce00"
"PrincipalObjectAttributeAccessSet", "optevia_communicationpreference_PrincipalObjectAttributeAccesses", "optevia_communicationpreference_PrincipalObjectAttributeAcces00"
"PrincipalObjectAttributeAccessSet", "optevia_fdiaftercarevisitserviceprovider_PrincipalObjectAttributeAccesses", "optevia_fdiaftercarevisitserviceprovider_PrincipalObjectAttri00"
"PrincipalObjectAttributeAccessSet", "optevia_eventserviceproviderrole_PrincipalObjectAttributeAccesses", "optevia_eventserviceproviderrole_PrincipalObjectAttributeAcce00"
"PrincipalObjectAttributeAccessSet", "detica_projectinvestmentdeliverypartner_PrincipalObjectAttributeAccesses", "detica_projectinvestmentdeliverypartner_PrincipalObjectAttrib00"
"PrincipalObjectAttributeAccessSet", "optevia_organisationcountrylevelofinterest_PrincipalObjectAttributeAccesses", "optevia_organisationcountrylevelofinterest_PrincipalObjectAtt00"
"PrincipalObjectAttributeAccessSet", "detica_investmentdeliverypartnerrole_PrincipalObjectAttributeAccesses", "detica_investmentdeliverypartnerrole_PrincipalObjectAttribute00"
"PrincipalObjectAttributeAccessSet", "detica_investmentabovethreshold_PrincipalObjectAttributeAccesses", "detica_investmentabovethreshold_PrincipalObjectAttributeAcces00"
